"time","blh_m"
2024-06-26 12:52:42.063084,101.63
2024-06-26 13:12:42.331036,301.63
2024-06-26 13:32:42.006042,601.63
2024-06-26 13:52:42.192048,751.63
2024-06-26 14:12:42.110082,551.63
2024-06-26 14:32:42.227049,751.63
2024-06-26 14:52:42.13606,751.63
2024-06-26 15:12:42.128536,801.63
2024-06-26 15:32:42.105219,851.63
2024-06-26 15:52:42.05539,851.63
2024-06-26 16:12:42.055087,851.63
2024-06-26 16:32:42.234053,851.63
2024-06-26 16:52:42.249089,801.63
2024-06-26 17:12:42.25806,1051.63
2024-06-26 17:32:42.012053,951.63
2024-06-26 17:52:42.290525,1401.63
2024-06-26 18:12:42.20011,651.63
2024-06-26 18:32:42.226402,1401.63
2024-06-26 18:52:42.208467,1501.63
2024-06-26 19:12:42.179628,1951.63
2024-06-26 19:32:42.149563,2001.63
2024-06-26 19:52:42.219105,1801.63
2024-06-26 20:12:42.209327,1951.63
2024-06-26 20:32:42.159045,4401.63
2024-06-26 20:52:42.152687,4801.63
2024-06-26 21:12:42.144649,351.63
2024-06-26 21:32:42.107523,301.63
2024-06-26 21:52:42.144114,3551.63
2024-06-26 22:12:42.133119,3851.63
2024-06-26 22:32:42.087594,4151.63
2024-06-26 22:52:42.11307,3101.63
2024-06-26 23:12:42.080078,4001.63
2024-06-26 23:32:42.297054,NA
2024-06-26 23:52:42.031052,4101.63
2024-06-27 00:12:42.252051,3651.63
2024-06-27 00:32:42.168295,751.63
2024-06-27 00:52:42.122086,NA
2024-06-27 01:12:42.060045,NA
2024-06-27 01:32:42.01611,NA
2024-06-27 01:52:42.28908,NA
2024-06-27 02:12:42.125994,NA
2024-06-27 02:32:42.08572,NA
2024-06-27 02:52:42.005132,NA
2024-06-27 03:12:42.197103,NA
2024-06-27 03:32:42.171162,NA
2024-06-27 03:52:42.136791,NA
2024-06-27 04:12:42.109703,NA
2024-06-27 04:32:42.035663,NA
2024-06-27 04:52:42.253444,401.63
2024-06-27 05:12:41.97517,NA
2024-06-27 05:32:42.227582,NA
2024-06-27 05:52:42.192115,NA
2024-06-27 06:12:42.175427,NA
